"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T22:33:12.765Z[Europe/London]","0.0","5.83"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T22:33:18.637Z[Europe/London]","0.0","1.07"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T22:33:19.704Z[Europe/London]","0.0","1.1"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T22:33:20.802Z[Europe/London]","0.0","1.14"
"User data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T22:33:24.236Z[Europe/London]","0.0","9.8"
"Pet data driven test","Data driven test for adding multiple pets to the application","SUCCESS","2023-01-10T22:33:39.754Z[Europe/London]","0.0","9.27"
"Tags test","Test001","SUCCESS","2023-01-10T22:33:39.838Z[Europe/London]","0.0","1.89"
"Tags test","Test002","SUCCESS","2023-01-10T22:33:41.724Z[Europe/London]","0.0","1.12"
"Tags test","Provide 200 status code when correct Http method is used to access resource","SUCCESS","2023-01-10T22:33:43.774Z[Europe/London]","0.0","0.51"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T22:33:44.398Z[Europe/London]","0.0","0.98"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T22:33:45.384Z[Europe/London]","0.0","0.85"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T22:33:46.232Z[Europe/London]","0.0","1.02"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T22:33:47.248Z[Europe/London]","0.0","1.57"
"Testing different request on the petstore application pet detail","As a user I am registering new pet detail","SUCCESS","2023-01-10T22:33:12.898Z[Europe/London]","0.0","5.8"
"Testing different request on the petstore application pet detail","As a user I am getting detail of new pet","SUCCESS","2023-01-10T22:33:20.520Z[Europe/London]","0.0","0.72"
"Testing different request on the petstore application pet detail","As a user I am updating existing pet detail","SUCCESS","2023-01-10T22:33:21.290Z[Europe/London]","0.0","0.64"
"Testing different request on the petstore application pet detail","As user I am deleting Pet detail","SUCCESS","2023-01-10T22:33:22.046Z[Europe/London]","0.0","1.47"
"Testing different request on the petstore application","As a user I am getting detail of new user","SUCCESS","2023-01-10T22:33:29.423Z[Europe/London]","0.0","0.94"
"Testing different request on the petstore application","As a user I am updating user detail","SUCCESS","2023-01-10T22:33:30.542Z[Europe/London]","0.0","1.57"
"Testing different request on the petstore application","As user I am deleting user detail","SUCCESS","2023-01-10T22:33:32.826Z[Europe/London]","0.0","1.15"
"Testing different request on the petstore application","As a user I am registering new user detail","SUCCESS","2023-01-10T22:33:34.089Z[Europe/London]","0.0","4.19"
