"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T22:33:12.765Z[Europe/London]","0.0","5.83"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T22:33:18.637Z[Europe/London]","0.0","1.07"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T22:33:19.704Z[Europe/London]","0.0","1.1"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T22:33:20.802Z[Europe/London]","0.0","1.14"
"User data driven test","Data driven test for adding multiple users to the application","SUCCESS","2023-01-10T22:33:24.236Z[Europe/London]","0.0","9.8"
"Pet data driven test","Data driven test for adding multiple pets to the application","SUCCESS","2023-01-10T22:33:39.754Z[Europe/London]","0.0","9.27"
"Tags test","Test001","SUCCESS","2023-01-10T22:33:39.838Z[Europe/London]","0.0","1.89"
"Tags test","Test002","SUCCESS","2023-01-10T22:33:41.724Z[Europe/London]","0.0","1.12"
"Tags test","Provide 500 status code when incorrect Http method is used to access resource","FAILURE","2023-01-10T22:33:42.849Z[Europe/London]","0.0","0.92"
"Tags test","Provide 200 status code when correct Http method is used to access resource","SUCCESS","2023-01-10T22:33:43.774Z[Europe/London]","0.0","0.51"
"User CRUD test","This will create a new user","SUCCESS","2023-01-10T22:33:44.398Z[Europe/London]","0.0","0.98"
"User CRUD test","This will verify that new user has been created","SUCCESS","2023-01-10T22:33:45.384Z[Europe/London]","0.0","0.85"
"User CRUD test","This will update a new user","SUCCESS","2023-01-10T22:33:46.232Z[Europe/London]","0.0","1.02"
"User CRUD test","Deleting user and verifying user is delted","SUCCESS","2023-01-10T22:33:47.248Z[Europe/London]","0.0","1.57"
